error	steps
1315143656.0	0.0
1265310062.0	1.0
1214786385.0	2.0
1177483493.0	3.0
1151947814.0	4.0
1124946891.0	5.0
1094802374.0	6.0
1076164426.0	7.0
1067394586.0	8.0
1008504132.0	9.0
994568259.0	10.0
973483883.0	11.0
940299191.0	12.0
927877552.0	13.0
913111986.0	14.0
892191032.0	15.0
871673280.0	16.0
855944910.0	17.0
849052626.0	18.0
845733964.0	19.0
835918263.0	20.0
822229895.0	21.0
817049691.0	22.0
812835722.0	23.0
810642433.0	24.0
799661670.0	25.0
782689350.0	26.0
782689350.0	27.0
768190433.0	28.0
764258116.0	29.0
759763158.0	30.0
744440553.0	31.0
736348897.0	32.0
732567471.0	33.0
726724021.0	34.0
710349463.0	35.0
705730295.0	36.0
700465341.0	37.0
697816946.0	38.0
693613305.0	39.0
688615663.0	40.0
685595504.0	41.0
681395760.0	42.0
679171361.0	43.0
674979032.0	44.0
674216074.0	45.0
673053293.0	46.0
671162061.0	47.0
671162061.0	48.0
669874073.0	49.0
669874073.0	50.0
669005703.0	51.0
665160847.0	52.0
665160847.0	53.0
664307029.0	54.0
664307029.0	55.0
661242442.0	56.0
659231404.0	57.0
658661644.0	58.0
656317013.0	59.0
655641994.0	60.0
655549537.0	61.0
652788970.0	62.0
646175680.0	63.0
645068551.0	64.0
639960730.0	65.0
636680775.0	66.0
634673303.0	67.0
633985579.0	68.0
633432272.0	69.0
630063119.0	70.0
630063119.0	71.0
629933241.0	72.0
625730559.0	73.0
623666217.0	74.0
623126038.0	75.0
618681172.0	76.0
614893777.0	77.0
613340524.0	78.0
613340524.0	79.0
613340524.0	80.0
611559415.0	81.0
611259987.0	82.0
609994722.0	83.0
609994722.0	84.0
609994722.0	85.0
609994722.0	86.0
609994722.0	87.0
607765463.0	88.0
607765463.0	89.0
607335187.0	90.0
604237867.0	91.0
604034706.0	92.0
604034706.0	93.0
604034706.0	94.0
604034706.0	95.0
604034706.0	96.0
604034706.0	97.0
604034706.0	98.0
604014245.0	99.0
604014245.0	100.0
604014245.0	101.0
603903485.0	102.0
603827430.0	103.0
603311945.0	104.0
601968553.0	105.0
600763813.0	106.0
600154783.0	107.0
600154783.0	108.0
599191020.0	109.0
598754544.0	110.0
598350629.0	111.0
598350629.0	112.0
598083383.0	113.0
596461423.0	114.0
596224517.0	115.0
596224517.0	116.0
596224517.0	117.0
596224517.0	118.0
596224517.0	119.0
596224517.0	120.0
596224517.0	121.0
596224517.0	122.0
596224517.0	123.0
592268934.0	124.0
589768205.0	125.0
588388420.0	126.0
588388420.0	127.0
588388420.0	128.0
588388420.0	129.0
588388420.0	130.0
588388420.0	131.0
586784336.0	132.0
586619371.0	133.0
586386230.0	134.0
586386230.0	135.0
585602344.0	136.0
585602344.0	137.0
585602344.0	138.0
585602344.0	139.0
585602344.0	140.0
585602344.0	141.0
585602344.0	142.0
585602344.0	143.0
585602344.0	144.0
585602344.0	145.0
585602344.0	146.0
585602344.0	147.0
585602344.0	148.0
585602344.0	149.0
585602344.0	150.0
585602344.0	151.0
585602344.0	152.0
585602344.0	153.0
585556421.0	154.0
585556421.0	155.0
585190178.0	156.0
585190178.0	157.0
585084332.0	158.0
584957626.0	159.0
584957626.0	160.0
584957626.0	161.0
584706282.0	162.0
584492197.0	163.0
584475116.0	164.0
584475116.0	165.0
584435081.0	166.0
584435081.0	167.0
584435081.0	168.0
584353679.0	169.0
584353679.0	170.0
584353679.0	171.0
584353679.0	172.0
584353679.0	173.0
584353679.0	174.0
584353679.0	175.0
584353679.0	176.0
584353679.0	177.0
584353679.0	178.0
584353679.0	179.0
584353679.0	180.0
584353679.0	181.0
584353679.0	182.0
584353679.0	183.0
584353679.0	184.0
584139884.0	185.0
584120559.0	186.0
584120559.0	187.0
584120559.0	188.0
584120559.0	189.0
584120559.0	190.0
584120559.0	191.0
584120559.0	192.0
584120559.0	193.0
584120559.0	194.0
584120559.0	195.0
584120559.0	196.0
584120559.0	197.0
584120559.0	198.0
584120559.0	199.0
584120559.0	200.0
584120559.0	201.0
583795128.0	202.0
583795128.0	203.0
583795128.0	204.0
583795128.0	205.0
583795128.0	206.0
583795128.0	207.0
583712336.0	208.0
583712336.0	209.0
583712336.0	210.0
583712336.0	211.0
583712336.0	212.0
583712336.0	213.0
583712336.0	214.0
583665363.0	215.0
583665363.0	216.0
583665363.0	217.0
583665363.0	218.0
583665363.0	219.0
583665363.0	220.0
583665363.0	221.0
583665363.0	222.0
583665363.0	223.0
583665363.0	224.0
583665363.0	225.0
583665363.0	226.0
583665363.0	227.0
583665363.0	228.0
583665363.0	229.0
583665363.0	230.0
583665363.0	231.0
583665363.0	232.0
583561408.0	233.0
582869906.0	234.0
582869906.0	235.0
582869906.0	236.0
582869906.0	237.0
582869906.0	238.0
582869906.0	239.0
582869906.0	240.0
582869906.0	241.0
582869906.0	242.0
582323326.0	243.0
582323326.0	244.0
582166489.0	245.0
582166489.0	246.0
582166489.0	247.0
582166489.0	248.0
582166489.0	249.0
582166489.0	250.0
582166489.0	251.0
582166489.0	252.0
582166489.0	253.0
582166489.0	254.0
582113113.0	255.0
582113113.0	256.0
582113113.0	257.0
582113113.0	258.0
582113113.0	259.0
582113113.0	260.0
582113113.0	261.0
582113113.0	262.0
582113113.0	263.0
582113113.0	264.0
582113113.0	265.0
582113113.0	266.0
582113113.0	267.0
582113113.0	268.0
582113113.0	269.0
582113113.0	270.0
582113113.0	271.0
582113113.0	272.0
582113113.0	273.0
582113113.0	274.0
582049641.0	275.0
582049641.0	276.0
582049641.0	277.0
582049641.0	278.0
582049641.0	279.0
582049641.0	280.0
582049641.0	281.0
582049641.0	282.0
582049641.0	283.0
582049641.0	284.0
582049641.0	285.0
582033851.0	286.0
582033851.0	287.0
582033851.0	288.0
582033851.0	289.0
582033851.0	290.0
582033851.0	291.0
582033851.0	292.0
582033851.0	293.0
582033851.0	294.0
582033851.0	295.0
582033851.0	296.0
582033851.0	297.0
582033851.0	298.0
582033851.0	299.0
582033851.0	300.0
582033851.0	301.0
582033851.0	302.0
582033851.0	303.0
582030120.0	304.0
581959414.0	305.0
581959414.0	306.0
581959414.0	307.0
581959414.0	308.0
581959414.0	309.0
581959414.0	310.0
581959414.0	311.0
581959414.0	312.0
581959414.0	313.0
581959414.0	314.0
581959414.0	315.0
581959414.0	316.0
581959414.0	317.0
581959414.0	318.0
581959414.0	319.0
581959414.0	320.0
581959414.0	321.0
581959414.0	322.0
581959414.0	323.0
581959414.0	324.0
581959414.0	325.0
581959414.0	326.0
581959414.0	327.0
581959414.0	328.0
581959414.0	329.0
581959414.0	330.0
581959414.0	331.0
581959414.0	332.0
581959414.0	333.0
581938069.0	334.0
581938069.0	335.0
581938069.0	336.0
581938069.0	337.0
581938069.0	338.0
581938069.0	339.0
581938069.0	340.0
581938069.0	341.0
581924324.0	342.0
581924324.0	343.0
581924324.0	344.0
581924324.0	345.0
581924324.0	346.0
581924324.0	347.0
581924324.0	348.0
581924324.0	349.0
581924324.0	350.0
581924324.0	351.0
581924324.0	352.0
581924324.0	353.0
581924324.0	354.0
581924324.0	355.0
581924324.0	356.0
581924324.0	357.0
581924324.0	358.0
581924324.0	359.0
581924324.0	360.0
581924324.0	361.0
581924324.0	362.0
581924324.0	363.0
581924324.0	364.0
581924324.0	365.0
581924324.0	366.0
581924324.0	367.0
581924324.0	368.0
581924324.0	369.0
581924324.0	370.0
581924324.0	371.0
581924324.0	372.0
581924324.0	373.0
581924324.0	374.0
581924324.0	375.0
581924324.0	376.0
581924324.0	377.0
581924324.0	378.0
581924324.0	379.0
581924324.0	380.0
581924324.0	381.0
581924324.0	382.0
581924324.0	383.0
581924324.0	384.0
581924324.0	385.0
581924324.0	386.0
581924324.0	387.0
581924324.0	388.0
581924324.0	389.0
581924324.0	390.0
581924324.0	391.0
581924324.0	392.0
581924324.0	393.0
581924324.0	394.0
581924324.0	395.0
581924324.0	396.0
581924324.0	397.0
581924324.0	398.0
